"sp","x","y"
"Sphagnum lindbergii",99507.3576956786,727455.594109603
"Sphagnum lindbergii",262993.363105281,951139.546771196
"Sphagnum lindbergii",319738.099032284,687216.10997246
"Sphagnum lindbergii",263788.02681192,710647.095466811
"Sphagnum lindbergii",104440.311769124,733074.089067733
"Sphagnum lindbergii",106480.939022463,729322.402098862
"Sphagnum lindbergii",162103.90216069,958033.675649766
"Sphagnum lindbergii",330005.596763423,693502.474714948
"Sphagnum lindbergii",181641.496975581,935494.498874129
"Sphagnum lindbergii",146662.617299545,639714.520412098
"Sphagnum lindbergii",110183.07649667,718343.747142986
"Sphagnum lindbergii",109364.025276737,718189.395436677
"Sphagnum lindbergii",270861.123727387,705436.817481852
"Sphagnum lindbergii",99838.4127087979,728910.693273314
"Sphagnum lindbergii",98930.64949664,729771.43093072
"Sphagnum lindbergii",263297.797904599,710422.599963714
"Sphagnum lindbergii",102612.600836107,734893.983840207
"Sphagnum lindbergii",108140.783128022,729957.884529506
"Sphagnum lindbergii",319682.599080884,687652.768669609
"Sphagnum lindbergii",325654.326087185,692379.98893238
"Sphagnum lindbergii",112316.249012403,715749.048936772
"Sphagnum lindbergii",117422.021513342,631106.475253575
"Sphagnum lindbergii",335963.569531042,681299.210118364
"Sphagnum lindbergii",154971.46967441,659101.793355961
"Sphagnum lindbergii",254023.788074152,935738.737904136
"Sphagnum lindbergii",104714.745084735,733422.209492664
"Sphagnum lindbergii",174510.137753979,711234.087983343
"Sphagnum lindbergii",158079.672896602,655498.595312372
"Sphagnum lindbergii",163113.47793575,958026.264232074
"Sphagnum lindbergii",250655.40561298,673998.618720512
"Sphagnum lindbergii",264093.336346313,710028.669110608
"Sphagnum lindbergii",220489.335524842,974410.945136133
"Sphagnum lindbergii",118070.014925784,658909.996439897
"Sphagnum lindbergii",106416.382772484,729274.956299197
"Sphagnum lindbergii",101988.616245677,734579.119608869
"Sphagnum lindbergii",239563.737634039,950277.501450877
"Sphagnum lindbergii",108250.924881054,729239.861410939
"Sphagnum lindbergii",110129.106279576,718364.316836545
"Sphagnum lindbergii",175981.569340135,707049.849351168
"Sphagnum lindbergii",239734.060647858,950258.583796905
"Sphagnum lindbergii",106769.318622028,729287.650544571
"Sphagnum lindbergii",263889.73959469,710508.888019272
"Sphagnum lindbergii",332620.702176238,694495.209159465
"Sphagnum lindbergii",114969.908129772,713920.524618071
"Sphagnum lindbergii",268753.459385043,693885.744814955
"Sphagnum lindbergii",104700.31162506,733331.452639022
"Sphagnum lindbergii",173049.868763554,713295.419115693
"Sphagnum lindbergii",117145.331956386,632372.593954076
"Sphagnum lindbergii",118106.64898085,659363.211520603
"Sphagnum lindbergii",318243.649706328,687783.725495281
"Sphagnum lindbergii",168903.097468958,732856.474628742
"Sphagnum lindbergii",179474.049498088,709054.314984799
"Sphagnum lindbergii",178414.140942337,967290.17144098
"Sphagnum lindbergii",146392.954712945,640018.038448015
"Sphagnum lindbergii",109657.5229265,718527.439910984
"Sphagnum lindbergii",330243.248500219,685866.074411645
"Sphagnum lindbergii",114606.667402626,715396.212985255
"Sphagnum lindbergii",319049.422341646,687608.176188165
"Sphagnum lindbergii",146404.747670116,639962.09338421
"Sphagnum lindbergii",101576.013234983,733369.219044571
"Sphagnum lindbergii",332957.413900682,694067.124798005
"Sphagnum lindbergii",260798.511747241,948708.643806816
